cleaned_tokens,task1,task2
"['rt', 'lindaforamerica', 'wow', 'see', 'youre', 'still', 'deflecting', 'trying', 'save', 'ass', 'isnt', 'going', 'work', 'comey', 'keep', 'talking', 'and']",HOF,OFFN
"['know', 'humanity', 'retarded', 'cant', 'find', 'drill', 'machines', 'work', 'tight', 'spaces', 'like', 'dentists', 'httpstcoi1eg2znprm']",NOT,NONE
"['big', 'dog', 'update', 'httpstcop1loqr2jus']",NOT,NONE
"['omg', '7', 'months', 'ill', '19', 'im', 'trying', 'figure', 'adulting', 'would', 'like']",NOT,NONE
"['rt', '031kadoestuntin', 'hate', 'past', 'shit', 'ugly']",HOF,PRFN
"['rt', 'amadijuana', 'grown', 'people', 'shit', 'lose', 'dont', 'react', 'everything', 'anything', 'somethings', 'need', 'overlooked', 'ignored']",NOT,NONE
"['rt', 'notlipglosse', 'daenerys', 'snatches', 'throne', 'satan', 'becomes', 'queen', 'hell', 'since', 'shes', 'fireproof', 'gameofthronesfinale']",NOT,NONE
"['rt', 'spitfiregay', 'fuck', 'koalas', 'functionally', 'extinct', 'httpstcoz84z0aj1kr']",HOF,PRFN
"['rt', 'lilsasquatch66', 'dads', 'cooking', 'isis', '', 'really', 'fucking', 'bad']",HOF,PRFN
"['rt', 'femiabodunde', 'dprknews', 'shoutout', 'british', 'gangstasfuck', 'peasant', 'gangsta', 'solomon', 'rum', 'fun', 'fucking']",HOF,PRFN
"['rt', 'dipityjimins', 'feeling', 'shit', 'plantain', 'instead', 'banana', 'fghfddsdgss', 'first', 'instinct', 'tell', 'jungk']",HOF,PRFN
"['rt', 'nikkicanape', 'reply', 'game', 'weak', 'fuck', 'swear', 'i'm', 'fun', 'person']",HOF,PRFN
"['noahcrothman', 'vote', 'president']",NOT,NONE
"['rt', 'donttrythis', 'bull', 'shite', 'you're', 'going', 'assert', '""facts""', 'least', 'actually', 'interested', 'reflecting', 'reality', 'you're', 'asserti']",HOF,PRFN
"['rt', 'richardskarin', 'mtns', 'jumia', 'fell', '19', 'andrew', 'left', 'citron', 'research', 'called', 'obvious', 'fraud', 'left', 'well', 'known', 'rather']",NOT,NONE
"['fucking', 'french', 'seams', 'part', '11', 'hardcore', 'erotic', 'gtgt', 'httpstcowg2wvp8dhu', 'ltlt', 'httpstcoh6wnyof62s']",HOF,PRFN
"['rt', 'sp0etynigga', 'bitch', 'ain't', 'blocc', '', 'httpstcoglvb7mtyig']",HOF,PRFN
"['rt', 'eggdril', 'donnt', 'comment', 'lmao', 'media', 'unless', 'ass', 'detached', 'send', 'picture', 'ass', 'ground', 'yo']",HOF,OFFN
"['mynameisradzi', 'fine']",NOT,NONE
"['tolulvd', 'you're', 'idiot']",HOF,OFFN
"['rt', 'asherxloren', '""but', 'would', 'able', 'rest""', '""you', 'rest', 'now""', 'httpstcocgehlhj6zb']",NOT,NONE
"['ass', 'need', 'sleep']",HOF,PRFN
"['rt', '1061kissfmdfw', '', 'hi', 'btsarmy', '', 'visit', 'instagram', 'page', 'special', 'announcement', '4pm', 'wont', 'want', 'miss', 'instagram', '1']",NOT,NONE
"['gone', 'think', 'i'm', 'creep', 'oh', 'well']",HOF,PRFN
"['tired', 'single', 'shit']",HOF,PRFN
"['rt', 'aupafigura', 'president', 'httpstcoykfnwd7cyd']",NOT,NONE
"['fuck', 'jeffree', 'star']",HOF,PRFN
"['ciaraalive626', 'ah', 'thats', 'relief', 'xd', 'ngl', 'always', 'immediately', 'get', 'edge', 'moment', 'see', 'number', '1488', 'lmaooo']",HOF,NONE
"['rt', 'delightedlyskit', 'music', 'industry', 'mean', 'ass', 'place', 'making', 'legitimate', 'friendships', 'inside', 'business', 'easier', 'said', 'than']",HOF,PRFN
"['rt', 'emhealyyy', 'james', 'charles', 'team', 'trying', 'figure', 'fuck', 'finna', 'jamescharlesisoverparty', 'httpstcoso0zb74tdm']",HOF,PRFN
"['another', 'one', 'thinks', 'tommy', 'helping', 'expose', 'grooming', 'gangs', 'jesus', 'sick', 'gullible', 'morons']",HOF,PRFN
"['rt', 'haytlayf', 'philippines', 'racist', 'misogynistic', 'homophobic', 'altruistic', 'yet', 'selfcentered', 'country', 'people', 'fight', 'again']",HOF,OFFN
"['rt', 'babyb0ybangtan', 'halsey', 'performing', 'namjoon', 'go', 'bestfrsn', 'thats', 'bestfrannn', 'go', 'bestfran']",NOT,NONE
"['michelleskiwi', 'edamemebeans', 'way', 'i'm', 'crying', 'wtf', 'thank', 'much', 'michelle', 'shit', 'need', 'to', 'httpstcodskp1e2jop']",HOF,PRFN
"['rt', '50shadesofday', 'ppl', 'think', 'i'm', 'nuts', 'say', 'want', 'date', 'marry', 'bc', 'i'm', '21', 'like', 'don't', 'gotta', 'get', 'married', 'fuckin', 'tomorrow', 'ev']",HOF,PRFN
"['rt', 'jensimmons42', '16', 'sisters', 'boyfriend', '20', 'wearing', 'sweatpants', 'hoodie', 'drugged', 'didn't', 'stop', 'look', 'a']",HOF,NONE
"['""i', 'need', 'little', 'luck', 'little', 'bit', 'cause', 'every', 'time', 'get', 'stuck', 'words', 'wont', 'fit', 'every', 'time', 'that', 'httpstcoofga5a0skf']",NOT,NONE
"['nobody', 'got', 'time', 'shit']",HOF,PRFN
"['rt', 'itsfoodporn', 'orange', 'chicken', 'chow', 'mein', 'httpstco59coirlft3']",NOT,NONE
"['rt', 'exofancam60sc', 'scroll', '', '', '', '', '', '', '', '', '', '', '', '', 'keep', 'scrolling', '', '', '', '', '', '', '', '', '', '', '', '', 'you're', 'obligated', 'stre']",NOT,NONE
"['rt', 'anujdhar', 'early', 'days', 'question', 'calling', 'brahmacharya', 'experiment', 'people', 'started', 'asking', 'questio']",HOF,NONE
"['lietomelwt', 'mood', 'reason', 'probably', 'wont', 'work', 'money', 'searching', 'ways', 't', 'httpstco91v4wx9djg']",NOT,NONE
"['rt', 'simonpingram', 'couldn't', 'agree', 'unlike', 'adults', 'don't', 'still', 'expect', 'mummy', 'clear', 'barraisland', 'northb']",HOF,NONE
"['rt', 'netflixlifee', 'youre', 'ones', 'want', 'see', 'lucifer', 'season', '5', 'luciferseason5', 'httpstcopmn5byvfmg']",NOT,NONE
"['rt', '90swwe', 'dta', 'stupid', 'piece', 'trash', 'realmickfoley', 'steveaustinbsr', 'httpstco1hqwlrxf2z']",HOF,OFFN
"['go', 'stopadani', 'chicks', '', 'theweekly']",NOT,NONE
"['since', 'little', 'willie', 'mouth', 'yes', 'swallow', 'httpstco9mqrhmtrb5']",NOT,NONE
"['put', 'utu', 'future']",NOT,NONE
"['sugartitsbear', 'fuck', 'fat', 'acceptance', 'worth', 'better', 'august', '2018', 'vs', 'may', '2019', '', 'httpstcomqmwvzyxlr']",HOF,PRFN
"['realdonaldtrump', 'moved', 'like', 'bitch', 'fuck', 'trump']",HOF,OFFN
"['rt', 'hippuscampo', 'ezra', 'miller', 'gender', 'fluid', 'everyone', 'ignoring', 'y'all', 'shut', 'fuck', 'respect', 'noncis', 'people', 'httpst']",HOF,PRFN
"['rt', 'sweatyhairy', 'like', 'nike', 'shirts', 'say', 'somethin', 'like', 'fuck', 'sleep', 'hardest', 'dick', 'room', 'front']",HOF,PRFN
"['rt', 'worldwidechels', 'barcelona', 'away', 'isnt', 'english', 'teams', 'image', 'never', 'get', 'old', 'cfc', 'httpstcoollwsqwuof']",NOT,NONE
"['rt', 'imnotthatsad', 'i'm', 'going', 'continue', 'betterlove', 'i'm', 'going', 'beauty', 'manager', 'i'm', 'going', 'get', 'shit', 'together', 'i'm', 'goi']",HOF,PRFN
"['rt', 'notk4iley', 'umg', 'uh', 'fuck', 'guys', 'don't', 'make', 'money', 'posting', '30', 'second', 'covers', 'twitter', 'fuck', 'censoring', 'creati']",HOF,PRFN
"['rt', 'moodalisa', 'damn', 'y'all', 'reay', 'don't', 'wanting', 'poor', 'enjoy', 'shit', '', 'httpstcod0wq4y625m']",HOF,PRFN
"['4', 'people', 'followed', 'automatically', 'checked', 'httpstcopgdqbg8xkc']",NOT,NONE
"['rt', 'theonion', 'pbs', 'defends', ''arthur'', 'episode', 'mr', 'ratburn', 'reveals', 'he's', 'ultimate', 'twink', 'power', 'bottom', 'httpstco08gvu83w1e', 'httpst']",NOT,NONE
"['fuck', 'pinned']",HOF,PRFN
"['rt', 'lindseygrahamsc', '""you', 'know', 'make', 'america', 'great', 'tell', 'realdonaldtrump', 'go', 'hell""', 'httpstcopblaz1kguv']",HOF,HATE
"['rt', 'rosebro49034242', 'alyssamilano', 'mom', 'single', 'mother', 'unmarried', 'daughter', 'pentecostal', 'preacher', 'rare', 'blood', 'disease', 'an']",NOT,NONE
"['rt', 'lustylacroix', '""mmm', 'mmmm""', '', '', '', '', '', 'like', 'keep', 'fucking', 'ass', 'rt', 'cum', 'purple', 'hole', 'both', 'thrus']",HOF,PRFN
"['rt', 'daveg2018', 'anyone', 'doesnt', 'say', 'mobile', 'number', '533', 'format', 'fucking', 'danger']",HOF,PRFN
"['emilyadele18', 'petermonn', 'i'm', 'looking', 'guy', 'likes', 'fuck', 'hard', 'little', 'tight', 'pussy', 'pussy', 'also', 'pe', 'httpstcoqw84liphdo']",HOF,PRFN
"['jaxstalks', 'realdonaldtrump', 'presidenttweety', 'could', 'tell', 'supporters', 'phucked', 'mother', 'father', 'httpstcot6vpecbkvr']",HOF,OFFN
"['block', 'party', 'bileys', 'mii', 'head', 'ass', 'pit']",HOF,PRFN
"['v4karian', 'arggg', 'get', 'thinking', 'seems', 'like', 'stressful', 'way', 'something', 'lovely', 'work', 'usual', 'h', 'httpstcoqpl15x3shp']",NOT,NONE
"['rawstory', 'rawstory', 'hes', 'goddamn', 'liar']",HOF,OFFN
"['rt', 'lrihendry', 'chatbycc', 'realdonaldtrump', 'democrat', 'women', 'congress', 'stupid', 'they're', 'hateful', 'use', 'violent', 'rhetori']",HOF,HATE
"['need', 'one', 'asap', 'any1', 'ik', 'drop', 'user']",NOT,NONE
"['rt', 'taeilrnb', 'flo', 'taeil', 'shit', 'bitch', 'httpstcoiyc83iorrt']",HOF,PRFN
"['rt', 'sprinkleofjesus', 'know', 'hard', 'sit', 'back', 'everything', 'feel', 'control', 'you're', 'going', 'thankful', 'didn't']",NOT,NONE
"['rt', 'boobster', 'god', 'damn', 'cant', 'possibly', 'get', 'enough', 'luckycharms', 'massive', 'fucking', 'rack', 'live', 'cam', '', 'httpstcotr3ipnwbpy', '', 'httpst']",HOF,PRFN
"['ezioisntcool56', 'generation', 'stupid']",HOF,OFFN
"['rt', 'nurhidayuj', 'you're', 'man', 'won't', 'entertaining', 'men', 'you're', 'one', 'wanna', 'hang', 'travel', 'man']",NOT,NONE
"['rt', 'nowthisnews', 'need', 'see', 'people', 'like', 'help', 'us', 'define', '', 'tony', 'nominated', 'actress', 'laurenridloff', 'brin']",NOT,NONE
"['might', 'fuck', 'around', 'pay', 'blood', '', 'httpstcoaxadlhhf5k']",HOF,PRFN
"['rt', 'drebae', 'didn't', 'even', 'know', 'thing', 'want', 'everybody', 'involved', 'arrested', 'y'all', 'trash', 'don't', 'deserve', 'companionshi']",HOF,OFFN
"['ill', 'midway', 'chats', 'sudden', 'evaporate', 'white', 'screen', 'fucking', 'creepy', 'dodgy', 'bru']",HOF,PRFN
"['rt', 'raheemkassam', 'sorry', 'youve', 'alienated', 'one', 'largest', 'tv', 'audiences', 'country', 'well', 'never', 'use', 'product']",NOT,NONE
"['bro', 'sick', 'tried', 'smh']",NOT,NONE
"['rt', 'wohbts', 'scroll', '', '', '', '', '', '', '', '', '', '', '', '', 'keep', 'scrolling', '', '', '', '', '', '', '', '', '', '', '', '', '', 'you're', 'obligated', 'reply', 'wi']",NOT,NONE
"['', 'big', '50', '', 'congratulations', 'coaching', 'director', 'mr', 'jon', 'parry', 'fiftieth', 'birthday', 'worke', 'httpstcogk535rusg4']",NOT,NONE
"['nuby1k', 'well', 'damn', '']",HOF,PRFN
"['rt', 'busyphilipps', 'spoke', 'abortion', 'show', 'tonight', 'sit', 'idly', 'women's', 'rights', 'stripped', 'away', 'https']",NOT,NONE
"['rt', 'misstalie', 'brienne', 'went', 'favorite', 'bitch', 'ending', 'show', 'updating', 'bitch', 'ass', 'nigga's', 'wikipedia', 'page', 'httpstcofbmda']",HOF,OFFN
"['rt', 'cuteassmoemoe', 'line', 'dry', 'fr', 'lol', 'don't', 'tryn', 'fuck', 'wit', 'nobody', '']",HOF,PRFN
"['rt', 'triviageuk', 'actual', 'fuck', 'httpstcoasnbvnghig']",HOF,PRFN
"['rt', 'aeonianv', 'btstwt', 'trans', 'jungkookah', 'love', 'who', 'it's', 'jungkook', '', 'who', 'ah', 'jungkookssi', 'ah', 'jungkookie', 'you']",NOT,NONE
"['rt', 'heartspocky', 'one', 'days', 'someones', 'gonna', 'write', 'abo', 'fanfic', 'change', 'names', 'characters', 'get', 'published', 'going']",NOT,NONE
"['youre', 'impeaching', 'trump', 'well', 'hope', 'lose', 'reelecction']",NOT,NONE
"['dietc0caine', 'thank', 'youre', 'angel', 'still', 'need', 'lose', 'least', '5kgs', '5', '']",NOT,NONE
"['sun', '19', 'may', '2019', '215000', '0900']",NOT,NONE
"['henry44857029', 'either', 'way', 'need', 'go', 'fireplace', 'salesman', 'charge', 'mod']",NOT,NONE
"['4', 'people', 'followed', 'automatically', 'checked', 'httpstco91vfanzbxo']",NOT,NONE
"['rt', 'starksbruce', 'pepper', '""kicking', 'bad', 'guy's', 'ass""', 'potts', 'httpstcoeqotknak1g']",HOF,PRFN
"['rt', 'shxxxb131', 'americas', 'ass', 'koreas', 'ass', 'httpstcov2ah69qa6g']",HOF,PRFN
"['tried', 'sensibly', 'respond', 'called', 'liar', 'worse', 'penultimate', 's', 'httpstcos1dbm8f655']",NOT,NONE
"['bakaberries', 'get', 'smash']",NOT,NONE
"['3', 'morning', 'sniff', '""who', 'needs', 'man', 'whole', 'bag', 'pizza', 'rolls""']",NOT,NONE
"['rt', 'jimcarrey', 'think', 'you're', 'going', 'terminate', 'pregnancy', 'done', 'sometime', 'fetus', 'becomes', 'governor', 'alabama', 'h']",HOF,NONE
"['rt', 'gbellaaaaa', 'i'm', 'friend', 'that's', 'gonna', 'agree', 'we're', 'friends', 'you're', 'wrong', 'imma', 'let', 'know', 'you're', 'wrong', 'p']",HOF,NONE
"['rt', 'hskissey', 'meanwhile', 'harry', 'sold', 'two', 'world', 'tours', '28', 'award', 'winning', 'artist', 'face', 'gucci', 'cohosting', 'biggest', 'met', 'gala', 'in']",NOT,NONE
"['jayrecher', 'go', 'warhawks']",NOT,NONE
"['like', 'im', 'sorry', 'jake', 'paul', 'shouldve', 'done', 'years', 'ago', 'made', 'half', 'ass', 'apology', 'filming', 'de', 'httpstcoeag093ws9r']",HOF,PRFN
"['vote', 'bts', 'bbmas', 'ill', 'eat', 'ur', 'ass', 'bbmastopsocial', 'bts', 'btstwt', '']",NOT,NONE
"['rt', 'stillj93', 'grass', 'looks', 'greener', 'side', 'you're', 'staring', 'fence', 'instead', 'mowing', 'lawn']",NOT,NONE
"['damn', 'light', 'long', 'asf']",NOT,NONE
"['rt', 'antfranco', 'need', 'rave', 'month', 'mental', 'health']",NOT,NONE
"['dharmorla', 'dad', 'fine', 'fine', 'like', 'mum', 'chief']",NOT,NONE
"['rt', 'sanogram', 'bitches', 'think', 'meg', 'stallion', 'bitch', 'meg', 'family', 'guy', '']",HOF,OFFN
"['closes', 'eyes', 'mb', 'w', 'maintenance', 'ppl', 'gone', 'go', 'bac', 'sleep', 'bit', 'kinda', 'doubt', 'th']",NOT,NONE
"['rt', 'xobritdear', 'today', 'pray', 'money', 'need', 'bill', 'youre', 'worried', 'finds']",NOT,NONE
"['going', 'say', 'bus', 'wankers', 'today', 'waiting', '30', 'fucking', 'minutes', 'stagecoach', 'maybe', 'httpstcoy1euckqcvf']",HOF,PRFN
"['dantoni', 'got', 'worst', 'coach', 'ever', 'hyped', 'gas', 'sits', 'bench', 'calls', 'plays']",NOT,NONE
"['rt', 'thickmzansibbw', 'great', 'ass', 'httpstcokqgjznyvr8']",HOF,PRFN
"['imbubbles20', 'ggukfair', 'httpstcoiutwae09vl', 'go', '']",NOT,NONE
"['fucking', 'girls', 'wheel', 'porn', 'amateur', 'housewife', 'fucking', 'list', 'free', 'porno', 'sites', 'real', 'sexy', 'movies', 'myanmar', 'sexyiest', 'httpstcogsgllzuuml']",HOF,OFFN
"['rt', 'charliekirk11', 'rt', 'think', 'republicans', 'giving', 'trump', 'awards', 'thanking', 'he's', 'done', 'country', 'talkin']",NOT,NONE
"['rt', 'ramirez12jilian', 'fucken', 'stupid', 'httpstcod2umbw9hk0']",HOF,PRFN
"['rt', 'brunodurso', 'maximilian', 'im', 'fucking', 'crying', 'httpstco0ywf54mwc1']",HOF,PRFN
"['rt', 'msleasalonga', 'holy', 'crap', 'happens', 'young', 'people', 'remain', 'ignorant', 'reproductive', 'sexual', 'health', 'https']",NOT,NONE
"['rt', 'xcanogilbert', 'you're', 'working', 'towards', 'something', 'handle', 'shit', 'bihhhh', 'httpstcoqbr3vpxz0w']",NOT,NONE
"['rt', 'nayeonned', 'good', 'morning', 'naytiooooon', 'get', 'nayeon', 'fancam', '1m', 'mark', '48th', 'hour', 'posted', 'lezgetit', '']",HOF,NONE
"['rt', 'j0diesst', 'auba', 'hasn't', 'great', 'pretending', 'he's', 'shit', 'prem', 'mad', 'cos', 'scores', 'goals', 'httpstcoe7jvqqgx6c']",HOF,PRFN
"['mamma', 'mia', 'go']",NOT,NONE
"['rt', 'pink', 'someone', 'close', '2', 'u', 'talk', 'ill', 'tell', '14', 'really', 'suck', 'getting', '15', 'sucks', 'way']",HOF,PRFN
"['cant', 'wait', 'anymore', 'fuck', 'come', 'brazil', 'soon', 'please']",HOF,PRFN
"['rt', 'tonypaul45', 'wrote', 'song', 'honor', 'greatest', 'president', 'ever', 'walk', 'earth', 'president', 'realdonaldtrump', 'sir', 'd']",NOT,NONE
"['rt', 'noahbradley', 'make', 'art', 'youre', 'artist', 'youre', 'learning', 'youre', 'still', 'artist', 'dont', 'make', 'money', 'art', 'yo']",NOT,NONE
"['hirobotix', 'course', 'scent', 'master', 'riceball', 'perked', 'jumped', 'hiro's', 'shoulder', '""vee', 'eevee""', 'h', 'httpstcodcxv1in9x4']",NOT,NONE
"['till', 'notice', 'always', 'see', 'smile', 'far', 'away', 'you're', 'dazzling', 'eyes', 'grow', 'faint', 'heart', 'racing']",NOT,NONE
"['never', 'ever', 'see', 'another', 'series', 'characters', 'look', 'absolutely', 'gay', 'manliest', 'mother', 'fuckers', 'httpstco7iaaeqy1id']",HOF,HATE
"['rt', 'softehun', 'everyone', 'chanhun', 'subunit', 'happening', 'sm', 'ent', 'silence', 'chanhun', 'ig', 'fuck', 'we'll', 'confirm', 'httpst']",HOF,PRFN
"['rt', 'imsadloi', 'ig', '1256', 'followers', 'last', 'pic', 'posted', 'got', '153', 'likes', 'i'm', 'trying', 'start', 'shit', 'anyone', 'but']",HOF,PRFN
"['rt', 'nolliegloria', 'man', 'cant', 'stop', 'thinking', 'currently', 'sending', 'girl', 'transport', 'money', 'go', 'spend', 'weekend', 'w']",NOT,NONE
"['rt', 'leadlawson', 'america's', 'ass', 'httpstcorlss0fapdp']",HOF,PRFN
"['rt', 'scrufflez', 'yaaasss', 'beeetch', 'im', 'watching', 'right', 'youre', 'reading', 'tweet', 'youve', 'gotta', 'show', 'possum', 'so']",HOF,PRFN
"['rt', 'shehusani', 'one', 'man', 'see', 'inside', 'train', 'kaduna', 'abujahe', 'come', 'shout', 'say', '""ah', 'even', 'senator', 'dey', 'join', 'train""i', 'come', 'look', 'for']",NOT,NONE
"['rt', 'reneecarrollaz', 'crisis', 'tapachula', 'mexico', 'border', 'theyre', 'making', 'way', 'america', 'mostly', 'you']",NOT,NONE
"['rt', 'thetunnelingcat', 'transcrowdfund', 'hey', 'im', 'kaya', 'today', 'birthday', 'want', 'get', 'name', 'changed', 'httpstcookuadd7t']",HOF,HATE
"['rt', 'fvrrara', 'game', 'fucking', 'sucks', 'dogg', 'fuckkkkkkkkkkkkkkkk', 'season', '9', 'today', 'even', 'better', 'httpstconu3x1']",HOF,PRFN
"['rt', 'lisamromano', 'simple', 'salad', 'poached', 'chicken', 'wasabi', 'orange', 'mayo', 'segmented', 'orange', 'lebanese', 'cucumber', 'slices', 'black', 'sesame', 'seeds', 'food']",NOT,NONE
"['bpx5hh', 'blackpersonaa', 'idk', 'found', '']",NOT,NONE
"['rt', 'arieella', 'drove', 'son's', 'school', 'way', 'work', 'realized', 'never', 'dropped', 'ass', 'aint', 'say', 'shit', 'httpst']",HOF,PRFN
"['dont', 'need', 'one', 'bitch', 'anything']",HOF,PRFN
"['never', 'met', 'mother', 'like', 'mom', 'never', 'folds', 'matter', 'hard', 'anything', 'gets', 'keeps', 'pushingampgoes', '100x', 'har', 'httpstcoekycbzfjif']",NOT,NONE
"['7', 'days', 'work', '5', 'go', '', 'send', 'help', 'chocolate', 'x']",NOT,NONE
"['sansquish', 'white', 'lie', 'fucking', 'playing', '', 'sksksnks']",HOF,PRFN
"['rt', 'idlerwyzo', '', 'fuck', 'httpstcoqx5vqalwbt']",HOF,PRFN
"['rt', 'michaelgoros', 'robreiner', 'president', '2016', 'obamaspieddemocratslied']",HOF,HATE
"['he's', 'fat', 'haha', 'big', 'sexy', 'lmao']",HOF,OFFN
"['rt', 'realdonaldtrump', 'interviewed', 'steve', 'hilton', 'tonight', '900', 'pm', 'foxnews', 'enjoy']",NOT,NONE
"['cuppymusic', 'maybelline', 'fine', 'abeg']",NOT,NONE
"['danieltiluk', 'amount', 'work', 'hes', 'put', 'hes', 'basically', 'barcas', 'sissoko', 'without', 'aint', 'w', 'httpstco6a9qj00aeq']",NOT,NONE
"['whole', 'team', 'eating', 'fuck', 'outsiders', 'gotta', 'say', '']",HOF,PRFN
"['rt', 'stollerykids', 'get', 'stollery', 'tote', 'bag', 'walmartcanada', 'today', 'stop', 'local', 'store', 'buy', 'tote', '3', 'proceeds', 'go', 's']",NOT,NONE
"['find', 'filipina', 'she's', 'fine', 'better', 'keep', 'cuz', 'ain't', 'nothing', 'like', 'filipina', 'girl', '']",HOF,HATE
"['rt', 'brianklaas', 'need', 'know', 'lindsey', 'graham', '2016', 'said', 'trump', '""crazy""', '""kook""', '""not', 'fit', 'pre']",NOT,NONE
"['living', 'barns', 'n', 'shit']",HOF,PRFN
"['die', 'partner', 'suck', 'well', 'thats', 'one', 'way', 'go', '']",HOF,PRFN
"['jewish', 'americans', 'side', 'nazis', 'w', 'ar15s', 'left', '', 'ask', '']",NOT,NONE
"['bboogie22', 'gr3atness', 'said', 'he's', 'lot', 'help', 'people', 'say', 'didn't', 'showed', 'y'all', 'numb', 'httpstcom3nypoo3mf']",NOT,NONE
"['edkrassen', 'kamalaharris', 'he's', 'attorney', 'ffs', 'doesn't', 'know', 'suggest', 'meanslockupbarr']",NOT,NONE
"['bishop', 'richard', 'mr', 'clean', 'white', 'im', 'glad', 'dont', 'look', 'like', 'ive', 'feat', 'myron', 'williams']",NOT,NONE
"['matteoadragn', 'hillaryclinton', 'realdonaldtrump', '""you're', 'going', 'need', 'it""', 'shes', 'going', 'need', 'asylum', 'america', 'dumb', 'fucking', 'comment']",HOF,OFFN
"['rt', 'kyungseng', 'kyungsoo', '""someday', 'want', 'music', 'want', 'also', 'like', 'singing', 'don't', 'know', 'th']",NOT,NONE
"['rt', 'dlmpleskz', 'taehyung's', 'ass', 'cant', 'breatheierjdj', 'httpstcoovurbmbcta']",HOF,OFFN
"['timmounce', 'probably', 'go', 'united', 'traitor']",NOT,NONE
"['rt', 'alliextina', 'armys', 'always', 'apologizing', 'shit', 'didnt', 'lmao']",HOF,PRFN
"['yessss', 'running', 'government']",NOT,NONE
"['rt', 'sighbrattt', 'depressed', 'horny', 'idk', 'wanna', 'fuck', 'die', '']",HOF,PRFN
"['rt', 'donladywon', 'fuck', 'y'all', 'talking', 'app', 'httpstcod529qsresy']",HOF,PRFN
"['man', '2018', 'rainiest', 'year', 'ever', 'especially', 'weekends', 'least', 'can't', 'get', 'worse', '2019', 'here', 'httpstcoupfxziq9yl']",NOT,NONE
"['know', 'fat', 'walk', 'like', 'yo', 'ass', 'stank']",HOF,OFFN
"['fine', '']",NOT,NONE
"['rt', 'soulfulvegan269', 'cannot', 'believe', 'first', '29', 'years', 'life', 'didn't', 'know', 'cows', 'pregnant', 'produce', 'milk', 'fuck', 'dairy', 'f']",HOF,PRFN
"['rt', 'damiergenesis', '""don't', 'need', 'hateration', 'holleration', 'danceree""', 'httpstcoeqmbvu0ltt']",NOT,NONE
"['rt', 'jrhoffa', 'wavyhardaway', 'jacket', 'legendary', 'sick', 'didn't', 'get', 'mines', 'chance', 'notpressed', 'httpstco5qbyoioyrq']",HOF,PRFN
"['rt', 'ezidi2', '12', 'took', 'sold', 'eight', 'men', 'three', 'raped', 'others', 'used', 'slave', '2014', 'islamic', 'st']",HOF,HATE
"['rt', 'aprildawnr1974', 'bet', 'you're', 'you're', 'supposed', 'right']",NOT,NONE
"['rt', 'channel4', 'you're', 'factor', 'you're', 'going', 'greatbritishschoolswap', 'tonight', '9pm', 'httpstco0cn5is36eo']",NOT,NONE
"['rt', 'okaayday', 'men', 'sick', 'like', 'actually', 'sick', 'httpstcouxeinlx2cf']",HOF,HATE
"['bitches', 'pressed', 'fuuuuuck', 'dont', 'like', 'content', 'stay', 'fuck', 'shit', 'dyke', 'asses']",HOF,OFFN
"['rt', 'funder', 'need', 'know', 'lindsey', 'graham', 'short', 'video', 'clip', 'winks', 'smiles', 'restarting', 'ba']",NOT,NONE
"['rt', 'thatquirkywife', 'i'd', 'marrying', 'loved', 'completes', 'he'd', 'get', 'ring', 'horrible', 'woul']",NOT,NONE
"['rt', 'chaewwon', 'mbbs', 'really', 'said', 'fuck', 'kihyun', 'want', 'spoon', 'pen', 'httpstcomel3i5ledq']",HOF,PRFN
"['i', 'look', 'everything']",NOT,NONE
"['sharonk00453169', 'fuck', 'yea', '']",HOF,PRFN
"['nu'est', 'started', 'bottom', 'we're', 'number', 'two']",NOT,NONE
"['look', 'i'm', 'never', 'shutting', 'httpstcodf9wasbxch']",NOT,NONE
"['rt', 'huudrich', 'supposed', 'double', 'text', 'idiot']",NOT,NONE
"['rt', 'bioach', 'dimly', 'lit', 'cellar', 'son', 'today', 'career', 'day', 'school', 'didn't', 'tell', 'dad', 'think', 'job', 'boring', 'co']",NOT,NONE
"['ffffyuiop', 'macawcaw123', 'damn', 'gotta', 'leak', 'nudes', 'like']",NOT,NONE
"['wanted', 'post', 'ass', 'pic', 'thought']",HOF,PRFN
"['jarheadz88', 'sick', 'progress']",HOF,PRFN
"['rt', 'lizzfizzzz', 'karma', 'real', 'think', 'could', 'get', 'away', 'evil', 'things', 'amp', 'live', 'happy', 'life', 'you're', 'missing', 'period']",NOT,NONE
"['rt', 'redalphababe', 'remainers', 'please', 'don't', 'boycott', 'instead', 'vote', 'remain', 'party', 'put', 'tribal', 'instincts', 'aside', 'vote', 'go']",NOT,NONE
"['rt', 'johnwhuber', 'you're', 'hearing', '""former""', 'fbidoj', 'officials', 'thanks', 'confirming', 'sources', 'corrupt', 'ones', 'got']",NOT,NONE
"['needs', 'change', 'need', 'better', 'need', 'show', 'survivors', 'matter', 'predators', 'act', 'httpstcokuqykjaasg']",NOT,NONE
"['kind', 'want', 'job', 'making', 'data', 'visualizations', 'pornhub', 'insights']",HOF,PRFN
"['rt', 'lgbtmysterio', 'endgame', 'steve', 'fuck', 'every', 'steve', 'ride', 'die', 'home', 'skillet', 'biscot', 'know', 'w']",HOF,PRFN
